S.No.,City,Job,Salary,Company,Expertise,Recruiter
1,New York,Data Analyst - Cardiology,78674,Twimbo,Book Reviews,Christabel Radnage
2,New York,Associate Research Scientist,110453,Skajo,Surveying,Jayson Bladder
3,New York,Research and Brand Strategy Apprentice,134796,Skiba,TFM,Sophia Corde
4,New York,City Research Scientist II,64782,Viva,Mac OS,Cary Mac
5,New York,Business Intelligence Engineer,65769,Oloo,Ghosts,Sonni Tenpenny
6,New York,Data Engineer,49251,Viva,NYS Notary Public,Amory Partkya
7,New York,Research Data Associate,76168,Trupe,IT Recruitment,Maxie Chatres
8,New York,"Senior Analyst, Quantitative Research",91941,Meedoo,Project Management,Alis Gravestone
9,New York,"Research Engineer, Senior",135534,Skalith,RLM,Siouxie Pettengell
10,New York,"Research Analyst - Robotics, AI and Machine Learning",86933,Quamba,QC 9.2,Forrester Bearman
11,New York,Quantitative Analyst,127112,Cogibox,HVAC Controls,Torey Mahaddy
12,New York,Senior Data Scientist,127118,Izio,CBT,Bryana Willgoose
13,New York,Lead Data Scientist,110348,Omba,Financial Risk Management,Lalo Gagg
14,New York,Research Analyst,137235,Brainverse,Vendor Relationship Management,Casey Henrique
15,New York,Software Engineer/Dev OPS,100291,Tagpad,OTS,Camille O'Doherty
16,New York,Marketing Manager,47255,Avamm,Rational XDE,Barri Stickins
17,New York,Cognitive Software Developer,85282,Edgeblab,RMAN,Meggie Skipp
18,New York,Research Scientist: Control Systems,67549,Twiyo,Small Business Lending,Mollie Sprigg
19,New York,Sr. Business Intelligence Engineer,128272,Avavee,Hlookups,Kathy Brunskill
20,New York,Quantitative Business Analyst,46967,Browsezoom,HDSL,Marylin Savin
21,New York,ITS Service Desk Team Lead,103627,Mydeo,Tourism,Fredrika Samwayes
22,New York,Director of Data Science,46597,Thoughtbeat,HDPE,Mimi Portinari
23,New York,Product Development Manager,57439,Livefish,SFE,Niccolo Batters
24,New York,Quantitative Analyst (Fundamental Quant Equities) - Hedge Fu...,108552,Leexo,CFDs,Shena Manginot
